,seg_score,quality_score,expert,Method,tile
0,0.42852526184730344,1.3207815334817579,expert1,DeepCell 0.12.3 mem,tile1
1,0.4317462686383188,1.2898600128559647,expert1,DeepCell 0.12.3 cyto,tile1
2,0.45291584805386476,1.2334820001787135,expert1,DeepCell 0.9.0 mem,tile1
3,0.4521271445781083,1.2082913208964248,expert1,DeepCell 0.9.0 cyto,tile1
4,0.31368299564589036,1.226635502597382,expert1,DeepCell 0.6.0 mem,tile1
5,0.30533306359314366,1.160415490140322,expert1,DeepCell 0.6.0 cyto,tile1
6,0.4292237951962347,1.202213101008415,expert1,Cellpose 2.1.0,tile1
7,0.4341013104412053,1.1646172137227346,expert1,Cellpose 0.6.1,tile1
8,0.4258747969628983,1.109904129207708,expert1,Cellpose 0.0.3.1,tile1
9,0.06121797633959364,0.5016329515208252,expert1,CellProfiler,tile1
10,0.11803596969331541,0.008746121680183162,expert1,CellX,tile1
11,0.1091063029993594,0.2482210030664699,expert1,AICS(classic),tile1
12,0.00043015382693550235,0.2534515127763832,expert1,Cellsegm,tile1
13,0.0259161948559616,0.6205795779774055,expert1,Voronoi,tile1
14,1.0,1.3577063379701095,expert1,Expert1,tile1
15,0.33878313100004853,0.8052397192496754,expert1,Expert2,tile1
16,0.33828302498820195,1.3207815334817579,expert2,DeepCell 0.12.3 mem,tile1
17,0.3308400855966159,1.2898600128559647,expert2,DeepCell 0.12.3 cyto,tile1
18,0.3987455404736503,1.2334820001787135,expert2,DeepCell 0.9.0 mem,tile1
19,0.42745284062634376,1.2082913208964248,expert2,DeepCell 0.9.0 cyto,tile1
20,0.241014814021463,1.226635502597382,expert2,DeepCell 0.6.0 mem,tile1
21,0.23622419893086297,1.160415490140322,expert2,DeepCell 0.6.0 cyto,tile1
22,0.4327557073450105,1.202213101008415,expert2,Cellpose 2.1.0,tile1
23,0.4452743773069794,1.1646172137227346,expert2,Cellpose 0.6.1,tile1
24,0.4546152257334354,1.109904129207708,expert2,Cellpose 0.0.3.1,tile1
25,0.07938531113187265,0.5016329515208252,expert2,CellProfiler,tile1
26,0.09090566342537164,0.008746121680183162,expert2,CellX,tile1
27,0.1379669131655012,0.2482210030664699,expert2,AICS(classic),tile1
28,0.0006868920705411496,0.2534515127763832,expert2,Cellsegm,tile1
29,0.022386204627421354,0.6205795779774055,expert2,Voronoi,tile1
30,0.33878313100004853,1.3577063379701095,expert2,Expert1,tile1
31,1.0,0.8052397192496754,expert2,Expert2,tile1
32,0.3411787331138091,1.3335230835031417,expert1,DeepCell 0.12.3 mem,tile2
33,0.3413944227000283,1.3713384210661579,expert1,DeepCell 0.12.3 cyto,tile2
34,0.3789550687502274,1.2562540385300163,expert1,DeepCell 0.9.0 mem,tile2
35,0.39819081206778534,1.2715826268836556,expert1,DeepCell 0.9.0 cyto,tile2
36,0.23843974260680034,1.2921028546878937,expert1,DeepCell 0.6.0 mem,tile2
37,0.23709922896096836,1.306943964874585,expert1,DeepCell 0.6.0 cyto,tile2
38,0.39302979177382913,1.2141170720546424,expert1,Cellpose 2.1.0,tile2
39,0.39924722122651257,1.1916071154908294,expert1,Cellpose 0.6.1,tile2
40,0.38791961247637075,1.1385099684826279,expert1,Cellpose 0.0.3.1,tile2
41,0.00879544979265685,0.8371116155693337,expert1,CellProfiler,tile2
42,0.10107058087014648,0.17884473334037818,expert1,CellX,tile2
43,0.11805820934794735,0.39594664441274585,expert1,AICS(classic),tile2
44,0.00012734497670724887,0.6072691650655927,expert1,Cellsegm,tile2
45,0.019439472663134165,0.6727876023019412,expert1,Voronoi,tile2
46,1.0,1.3324336315460923,expert1,Expert1,tile2
47,0.3304191902592176,0.8958121100513481,expert1,Expert2,tile2
48,0.3215096748025891,1.3335230835031417,expert2,DeepCell 0.12.3 mem,tile2
49,0.31948966777451493,1.3713384210661579,expert2,DeepCell 0.12.3 cyto,tile2
50,0.3653739759322529,1.2562540385300163,expert2,DeepCell 0.9.0 mem,tile2
51,0.4065692297347475,1.2715826268836556,expert2,DeepCell 0.9.0 cyto,tile2
52,0.24019767105806433,1.2921028546878937,expert2,DeepCell 0.6.0 mem,tile2
53,0.23864761014338612,1.306943964874585,expert2,DeepCell 0.6.0 cyto,tile2
54,0.41032854442881067,1.2141170720546424,expert2,Cellpose 2.1.0,tile2
55,0.4169827997423279,1.1916071154908294,expert2,Cellpose 0.6.1,tile2
56,0.4314330867517989,1.1385099684826279,expert2,Cellpose 0.0.3.1,tile2
57,0.01031335235931376,0.8371116155693337,expert2,CellProfiler,tile2
58,0.10532766202143232,0.17884473334037818,expert2,CellX,tile2
59,0.16279795992421126,0.39594664441274585,expert2,AICS(classic),tile2
60,0.00023929168673355393,0.6072691650655927,expert2,Cellsegm,tile2
61,0.030740355139214796,0.6727876023019412,expert2,Voronoi,tile2
62,0.3304191902592176,1.3324336315460923,expert2,Expert1,tile2
63,1.0,0.8958121100513481,expert2,Expert2,tile2
